time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider
2016-03-26T22:54:32Z,30.589857,-96.356804,0,72,0,0,0,network
2016-03-26T22:54:40Z,30.590006,-96.356788,172.3,48,318.700012,0.308667,4,gps
2016-03-26T22:54:41Z,30.589895,-96.356818,96.2,32,318.700012,0.205778,7,gps
2016-03-26T22:54:42Z,30.589869,-96.356919,42.4,32,318.700012,0.257222,7,gps
2016-03-26T22:54:43Z,30.589774,-96.356941,26,24,318.700012,0.205778,8,gps
2016-03-26T22:54:44Z,30.589766,-96.356944,42,24,318.700012,0,8,gps
2016-03-26T22:54:45Z,30.589779,-96.356944,45.2,24,318.700012,0.668778,9,gps
2016-03-26T22:54:46Z,30.589787,-96.356949,66.4,16,318.700012,0.720222,9,gps
2016-03-26T22:54:47Z,30.589778,-96.35697,73.6,16,318.700012,0.720222,9,gps
2016-03-26T22:54:48Z,30.589768,-96.356992,76,12,271.799988,0.874556,9,gps
2016-03-26T22:54:49Z,30.589764,-96.357008,83.2,12,278.200012,0.874556,9,gps
2016-03-26T22:54:50Z,30.589757,-96.357019,82.6,12,278.200012,0.617333,9,gps
2016-03-26T22:54:51Z,30.589744,-96.357034,83,12,218,1.183222,9,gps
2016-03-26T22:54:52Z,30.589739,-96.35705,85.1,12,245.399994,1.028889,9,gps
2016-03-26T22:54:53Z,30.589723,-96.357062,96.6,12,223.5,1.131778,8,gps
2016-03-26T22:54:54Z,30.589714,-96.357066,103.2,12,223.5,0.617333,8,gps
2016-03-26T22:54:55Z,30.589712,-96.357062,101,12,223.5,0.257222,8,gps
2016-03-26T22:54:56Z,30.589715,-96.357075,100.8,12,296.299988,1.028889,5,gps
2016-03-26T22:54:57Z,30.589737,-96.357081,100.3,12,339.700012,1.646222,6,gps
2016-03-26T22:54:58Z,30.589763,-96.357085,98.4,12,342,1.903444,5,gps
2016-03-26T22:54:59Z,30.589796,-96.357082,96.1,16,349.299988,2.160667,5,gps
2016-03-26T22:55:00Z,30.589846,-96.357061,87,16,10.5,2.829444,6,gps
